DATE,A,AG,AL,AU,BU,C,CF,CS,CU,FG,HC,I,J,JM,L,M,MA,NI,OI,P,PB,PP,PTA,PVC,RB,RM,RU,SN,SR,Y,ZC,ZN
2017/3/6,-0.031501642,0.344651,-0.23391,0.308411,3.824580207,0.487781,2.761115955,,0.342201,-0.029486816,0.252021339,0.345391375,0.256659,-0.235,0.532507,0.338863287,0.677057,-0.06576,2.964573,-0.41083,0.120302,,5.593311582,26.66667,0.283201706,,0.204682187,0.972769,2.761115955,0.630585,-0.01829,-0.223
2017/3/7,-0.017426439,0.325735,-0.23832,0.308067,3.653532609,0.521559,2.883035714,,0.367225,-0.029486816,0.252021339,0.345391375,0.256659,-0.235,0.475036,0.338863287,0.677057,-0.05834,2.967667,-0.41083,0.123502,,5.098491304,26.66667,0.283201706,,0.2101983,0.947156,2.883035714,0.647688,-0.05167,-0.23163
2017/3/8,-0.028355315,0.312538,-0.24662,0.303382,3.653532609,0.521487,3.009140768,,0.367388,-0.029486816,0.252021339,0.345391375,0.256659,-0.235,0.483798,0.338863287,0.677057,-0.04558,2.967667,-0.40765,0.143677,,4.050475281,26.66667,0.283201706,,0.209809383,0.822353,3.009140768,0.672309,-0.03772,-0.23484
2017/3/9,-0.021999915,0.29978,-0.26445,0.303233,3.110003022,0.526942,3.16511194,,0.294992,-0.029486816,0.252021339,0.345391375,0.256659,-0.235,0.457666,0.338863287,0.677057,-0.04059,2.967667,-0.40765,0.152076,,3.300438328,,0.283201706,,0.195507165,0.784909,3.16511194,0.674886,0.007163,-0.24684
2017/3/10,-0.033385692,0.283471,-0.27193,0.303476,3.042006649,0.526231,3.502434275,,0.274023,-0.034023249,0.274193548,0.341610464,0.239709,-0.18945,0.411324,0.338863287,0.715144,-0.04824,2.963026,-0.34696,0.36899,,3.300347252,,0.207501971,,0.195065237,0.763426,3.502434275,0.678767,-0.01809,-0.25319
2017/3/11,-0.038295606,0.278787,-0.27425,0.303513,2.82252072,0.526231,3.551181102,,0.26522,-0.031552018,0.280651782,0.354203198,0.289023,-0.07724,0.411324,0.338863287,0.715144,-0.04481,2.963026,-0.34696,0.383495,,2.863910837,,0.260836588,,0.189431278,0.740064,3.551181102,0.71791,0.007063,-0.25839
2017/3/12,-0.075390172,0.278787,-0.27792,0.303513,2.82252072,0.526231,3.551181102,,0.225278,-0.031552018,0.280651782,0.354203198,0.289023,-0.07724,0.411324,0.121044547,0.715144,-0.04101,3.430229,-0.34696,0.383495,,2.863910837,,0.260836588,,0.189431278,0.679969,3.551181102,0.71791,0.00212,-0.25839
2017/3/13,-0.078464916,0.275429,-0.27882,0.303513,2.803943984,0.60489,3.68996063,,0.247682,-0.031552018,0.280651782,0.354203198,0.289023,-0.07724,0.411324,-0.020534156,0.715144,-0.04438,4.824583,-0.34579,0.39098,,2.872075876,,0.260836588,,0.196459949,0.647992,3.68996063,0.703367,-0.00467,-0.25353
2017/3/14,-0.062073549,0.28164,-0.28045,0.310595,2.326815278,0.536766,3.72254902,0.444444444,0.267779,-0.031552018,0.280651782,0.354203198,0.289023,-0.07724,0.359059,-0.020534156,0.715144,-0.04425,4.824583,-0.34579,0.393594,,2.61519921,,0.260836588,,0.187165775,0.633922,3.72254902,0.661988,0.005779,-0.25492
2017/3/15,-0.048363572,0.263392,-0.26916,0.311496,2.323686612,0.536766,4.020576132,0.444444444,0.269142,-0.031552018,0.280651782,0.354203198,0.289023,-0.07724,0.906085,-0.020534156,0.715144,-0.03811,4.833537,-0.36966,0.406046,,2.424785497,,0.260836588,,0.187168498,0.593323,4.020576132,0.619535,-0.00428,-0.2604
2017/3/16,-0.069382295,0.261515,-0.26989,0.313702,2.288358754,0.536694,4.330552659,0.444444444,0.267517,-0.031552018,0.280651782,0.354203198,0.289023,-0.07724,0.906085,-0.020534156,0.715144,-0.06414,4.825397,-0.36966,0.407085,,2.259368044,,0.260836588,,0.188567092,0.60066,4.330552659,0.617667,-0.00988,-0.26151
2017/3/17,-0.078358584,0.262185,-0.27401,0.313702,2.21860044,0.536694,4.683597884,,0.263149,-0.037521319,0.29095631,0.359669933,0.329305,-0.18087,0.906085,-0.020534156,0.53382,-0.0699,4.821123,-0.39286,0.376737,,2.099261127,,0.215376174,,0.183665757,0.530458,4.683597884,0.584771,-0.00667,-0.25997
2017/3/18,-0.067605847,0.258797,-0.27237,0.301747,2.118170426,0.536694,4.738247863,,0.25193,-0.032847758,0.306000509,0.352,0.32,-0.07096,0.906085,-0.020534156,0.53382,-0.06829,4.821123,-0.39286,0.391183,,2.023708051,,0.266897689,,0.184162991,0.457647,4.738247863,0.602269,-0.00048,-0.25681
2017/3/19,-0.075364604,0.258797,-0.27005,0.301747,2.118170426,0.536694,4.738247863,,0.2548,-0.032847758,0.306000509,0.352,0.32,-0.07096,0.906085,0.03892095,0.53382,-0.06768,5.075499,-0.39286,0.403037,,2.023708051,,0.266897689,,0.184162991,0.383785,4.738247863,0.602269,-0.00588,-0.25681
2017/3/20,-0.047455339,0.257989,-0.27274,0.301936,2.099373434,0.518496,4.870726496,,0.252238,-0.032847758,0.306000509,0.352,0.32,-0.07096,0.904233,0.013617913,0.53382,-0.07213,4.400978,-0.39286,0.403037,,2.016182845,,0.266897689,,0.184120983,0.315488,4.870726496,0.619746,-0.01007,-0.2586
2017/3/21,-0.029891803,0.252375,-0.27552,0.311675,1.919036941,0.526889,5.223068553,,0.252461,-0.032847758,0.306000509,0.352,0.32,-0.07096,0.851323,0.013617913,0.53382,-0.07453,4.400978,-0.37771,0.400838,,1.703981136,,0.266897689,,0.188361345,0.258207,5.223068553,0.655034,-0.01844,-0.24639
2017/3/22,-0.042970148,0.250474,-0.27531,0.311594,1.165193032,0.526889,5.365131579,,0.245202,-0.032847758,0.306000509,0.352,0.32,-0.07096,0.667744,0.013617913,0.53382,-0.07298,4.400978,-0.38222,0.413455,,1.701201169,,0.266897689,,0.201000378,0.249945,5.365131579,0.668211,-0.04202,-0.25174
2017/3/23,-0.055344203,0.246041,-0.27539,0.302253,1.212903791,0.52585,5.56043956,,0.226234,-0.032847758,0.306000509,0.352,0.32,-0.07096,0.667744,0.013617913,0.53382,-0.07023,4.428494,-0.38222,0.430041,,1.69544377,,0.266897689,,0.185316009,0.2007,5.56043956,0.670734,-0.03177,-0.25224
2017/3/24,-0.044962385,0.244945,-0.27485,0.304196,1.109593747,0.52585,5.667405765,,0.223108,-0.038274779,0.298711755,0.370564103,0.335,-0.03956,0.667744,0.013617913,0.501205,-0.07521,4.428494,-0.38222,0.443161,,1.591314343,,0.231605154,,0.182395492,0.187432,5.667405765,0.670734,-0.04444,-0.24985
2017/3/25,-0.042214689,0.24147,-0.27288,0.304196,1.109593747,0.52585,5.849658314,,0.217063,-0.032193159,0.328607968,0.387498702,0.408971,0.024804,0.667744,0.013617913,0.501205,-0.07539,4.428494,-0.38222,0.45591,,1.533181561,,0.270282462,,0.181948123,0.183572,5.849658314,0.637917,-0.04422,-0.24929
2017/3/26,-0.071677684,0.24147,-0.27211,0.304196,1.109593747,0.52585,5.849658314,,0.215559,-0.032193159,0.328607968,0.387498702,0.408971,0.024804,0.667744,0.099384575,0.501205,-0.07539,4.537111,-0.38222,0.45591,,1.533181561,,0.270282462,,0.181948123,0.146306,5.849658314,0.637917,-0.0666,-0.24929
2017/3/27,-0.079985367,0.244102,-0.27441,0.304074,1.09842824,0.586613,5.896355353,,0.203256,-0.032193159,0.328607968,0.387498702,0.408971,0.024804,0.613893,0.078207269,0.501205,-0.07663,5.351059,-0.38222,0.453893,,1.536093252,,0.270282462,,0.185773742,0.146306,5.896355353,0.652476,-0.05919,-0.25163
2017/3/28,-0.07074954,0.247792,-0.27865,0.313248,1.095851585,0.499633,5.971623156,,0.190874,-0.032193159,0.328607968,0.387498702,0.408971,0.024804,0.467421,0.078207269,0.501205,-0.07933,5.35646,-0.38168,0.452456,,1.44245209,,0.270282462,,0.187726087,0.146306,5.971623156,0.677087,-0.05414,-0.255
2017/3/29,-0.08489419,0.246563,-0.2801,0.310926,0.938423029,0.499499,6.06981982,,0.183909,-0.032193159,0.328607968,0.387498702,0.408971,0.024804,0.062811,0.078207269,0.501205,-0.08366,5.362692,-0.34935,0.443239,,1.286167283,,0.270282462,,0.188171369,0.114819,6.06981982,0.691763,-0.03674,-0.2507
